,Word,V,A,D
7982,mahi mahi,0.51,0.41,0.398
7983,mahjong,0.556,0.418,0.44
7984,mahogani,0.602,0.225,0.393
7985,maid,0.406,0.324,0.3
7986,maiden,0.755,0.396,0.461
7987,mail,0.6515,0.2775,0.4615
7988,mailbox,0.573,0.222,0.404
7989,mailman,0.659,0.418,0.462
7990,maim,0.133,0.724,0.496
7991,main,0.667,0.51,0.811
7992,mainfram,0.531,0.49,0.557
7993,mainland,0.68,0.407,0.806
7994,mainstay,0.694,0.4,0.713
7995,mainstream,0.653,0.527,0.66
7996,maintain,0.684,0.398,0.647
7997,mainten,0.592,0.41,0.545
7998,majest,0.948,0.731,0.906
7999,majesti,0.823,0.602,0.955
8000,major,0.684,0.549,0.902
8001,make,0.684,0.42,0.48
8002,makeov,0.771,0.51,0.596
8003,maker,0.698,0.544,0.706
8004,makeshift,0.479,0.611,0.389
8005,makesmehappi,0.894,0.663,0.712
8006,makesmemad,0.296,0.643,0.5
8007,makeup,0.74,0.333,0.331
8008,makingdiscipl,0.684,0.402,0.664
8009,maladi,0.19,0.686,0.304
8010,malais,0.15,0.6,0.161
8011,malaria,0.125,0.653,0.304
8012,malarkey,0.396,0.5,0.465
8013,malevol,0.094,0.854,0.613
8014,malfeas,0.062,0.745,0.325
8015,malform,0.083,0.602,0.357
8016,malfunct,0.125,0.577,0.229
8017,malic,0.073,0.811,0.492
8018,malici,0.177,0.765,0.607
8019,malign,0.1335,0.7717499999999999,0.42075
8020,mall,0.724,0.663,0.492
8021,malleabl,0.5,0.5,0.391
8022,mallet,0.354,0.39,0.483
8023,malnutrit,0.024,0.592,0.277
8024,malpractic,0.094,0.559,0.33
8025,malt,0.75,0.373,0.324
8026,mama,0.86,0.413,0.728
8027,mambo,0.808,0.622,0.445
8028,mamma,0.6,0.358,0.449
8029,mammal,0.618,0.449,0.421
8030,mammi,0.68,0.415,0.436
8031,mammoth,0.48,0.471,0.537
8032,man,0.551,0.588,0.484
8033,manag,0.6817500000000001,0.48275,0.76925
8034,manageri,0.604,0.52,0.791
8035,mandamu,0.439,0.577,0.556
8036,mandarin,0.625,0.398,0.491
8037,mandat,0.448,0.67,0.779
8038,mandatori,0.271,0.667,0.777
8039,mandibl,0.51,0.431,0.5
8040,mandolin,0.708,0.433,0.367
8041,mandrel,0.31,0.49,0.481
8042,mane,0.521,0.277,0.373
8043,maneuv,0.625,0.6515,0.6765
8044,mang,0.311,0.558,0.348
8045,manger,0.656,0.276,0.398
8046,mangi,0.214,0.698,0.27
8047,mangl,0.292,0.449,0.355
8048,mango,0.765,0.327,0.29
8049,mangosteen,0.562,0.5,0.414
8050,manhol,0.378,0.5,0.516
8051,manhood,0.625,0.735,0.858
8052,manhunt,0.145,0.925,0.657
8053,mania,0.29,0.683,0.382
8054,maniac,0.16,0.8485,0.4655
8055,manic,0.054,0.892,0.368
8056,manicur,0.706,0.308,0.284
8057,manicurist,0.583,0.352,0.341
8058,manifest,0.61,0.6716666666666667,0.6753333333333332
8059,manifestli,0.469,0.588,0.577
8060,manifesto,0.646,0.519,0.676
8061,manifold,0.5,0.461,0.435
8062,manipul,0.20666666666666667,0.733,0.618
8063,mankind,0.823,0.471,0.768
8064,manli,0.698,0.633,0.846
8065,manna,0.698,0.294,0.544
8066,mannequin,0.427,0.302,0.295
8067,manner,0.6343333333333333,0.36333333333333334,0.37600000000000006
8068,manor,0.646,0.358,0.738
8069,manpow,0.531,0.62,0.543
8070,mansion,0.7909999999999999,0.5095000000000001,0.747
8071,manslaught,0.09,0.92,0.473
8072,mantel,0.5,0.265,0.471
8073,manti,0.48,0.355,0.421
8074,mantl,0.51,0.269,0.422
8075,mantra,0.396,0.249,0.357
8076,manual,0.635,0.245,0.449
8077,manufactur,0.7363333333333334,0.6176666666666667,0.8046666666666668
8078,manur,0.25,0.471,0.241
8079,manuscript,0.51,0.208,0.54
8080,map,0.561,0.229,0.463
8081,mapl,0.541,0.39,0.339
8082,mar,0.40149999999999997,0.5525,0.389
8083,marathon,0.646,0.778,0.74
8084,marbl,0.5713333333333334,0.314,0.442
8085,march,0.531,0.2,0.483
8086,mare,0.541,0.32,0.417
8087,margarin,0.53,0.316,0.333
8088,margarita,0.75,0.438,0.42
8089,margin,0.3675,0.4315,0.33799999999999997
8090,mariachi,0.71,0.559,0.609
8091,marijuana,0.312,0.779,0.558
8092,marin,0.6425000000000001,0.481,0.6775
8093,marinara,0.657,0.388,0.435
8094,marit,0.76,0.529,0.5
8095,maritim,0.646,0.49,0.713
8096,mark,0.5043333333333333,0.35633333333333334,0.526
8097,marker,0.5,0.333,0.605
8098,market,0.6636666666666667,0.5996666666666667,0.62
8099,marketplac,0.698,0.42,0.525
8100,marksman,0.5,0.833,0.692
8101,marksmanship,0.573,0.531,0.664
8102,marl,0.372,0.471,0.351
8103,marmalad,0.729,0.37,0.288
8104,maroon,0.349,0.419,0.248
8105,marque,0.602,0.284,0.508
8106,marqui,0.521,0.444,0.562
8107,marri,0.785,0.6675,0.6375
8108,marriag,0.844,0.684,0.75
8109,marrow,0.398,0.422,0.472
8110,marsh,0.302,0.358,0.277
8111,marshal,0.469,0.61,0.819
8112,marshmallow,0.74,0.441,0.391
8113,mart,0.531,0.402,0.418
8114,martial,0.48,0.71,0.737
8115,martingal,0.469,0.51,0.455
8116,martini,0.828,0.5,0.519
8117,martyr,0.281,0.708,0.509
8118,martyrdom,0.323,0.745,0.442
8119,marvel,0.93875,0.72725,0.81425
8120,marzipan,0.684,0.38,0.258
8121,mascara,0.575,0.45,0.269
8122,mascot,0.75,0.337,0.337
8123,masculin,0.618,0.605,0.812
8124,mash,0.48550000000000004,0.35,0.2385
8125,mask,0.465,0.5036666666666667,0.432
8126,masoch,0.194,0.845,0.483
8127,masochist,0.164,0.784,0.353
8128,mason,0.541,0.442,0.58
8129,masquerad,0.431,0.633,0.446
8130,mass,0.505,0.349,0.375
8131,massacr,0.031,0.887,0.64
8132,massag,0.708,0.356,0.413
8133,masseur,0.622,0.265,0.463
8134,masseus,0.594,0.373,0.391
8135,massiv,0.569,0.66,0.75
8136,mast,0.542,0.39,0.58
8137,master,0.774,0.5,0.9045
8138,masteri,0.755,0.648,0.873
8139,mastermind,0.792,0.625,0.918
8140,masterpiec,0.926,0.623,0.847
8141,masturb,0.547,0.9435,0.5045
8142,mat,0.4063333333333334,0.38166666666666665,0.37333333333333335
8143,matador,0.224,0.88,0.667
8144,match,0.659,0.6539999999999999,0.45899999999999996
8145,matchbook,0.562,0.391,0.412
8146,matchmak,0.615,0.509,0.519
8147,mate,0.8009999999999999,0.6285,0.714
8148,materi,0.4948333333333333,0.43516666666666665,0.5836666666666667
8149,materialist,0.3375,0.4985,0.5465
8150,materiel,0.531,0.294,0.417
8151,matern,0.856,0.4485,0.628
8152,math,0.417,0.375,0.6
8153,mathemat,0.529,0.4675,0.6060000000000001
8154,mathematician,0.541,0.418,0.773
8155,matine,0.694,0.578,0.447
8156,matricul,0.622,0.49,0.675
8157,matrimoni,0.85,0.637,0.843
8158,matrix,0.551,0.378,0.673
8159,matron,0.52,0.519,0.555
8160,matter,0.487,0.353,0.562
8161,mattress,0.612,0.255,0.397
8162,matur,0.6880000000000001,0.3953333333333333,0.7013333333333334
8163,maudlin,0.337,0.417,0.368
8164,mausoleum,0.344,0.281,0.594
8165,mauv,0.533,0.33,0.314
8166,maverick,0.354,0.676,0.409
8167,maxim,0.849,0.6635,0.8395
8168,maximum,0.724,0.724,0.852
8169,may,0.704,0.273,0.245
8170,mayday,0.344,0.643,0.423
8171,mayflow,0.69,0.463,0.429
8172,mayhem,0.188,0.87,0.364
8173,mayonnais,0.51,0.32,0.222
8174,mayor,0.469,0.481,0.818
8175,maze,0.438,0.608,0.444
8176,mead,0.667,0.337,0.441
8177,meadow,0.622,0.13,0.382
8178,meager,0.144,0.389,0.281
8179,meal,0.833,0.461,0.473
8180,mean,0.45499999999999996,0.48225,0.51825
8181,meander,0.4535,0.5435,0.49650000000000005
8182,meani,0.388,0.42,0.404
8183,meaning,0.77,0.5,0.802
8184,meaningless,0.156,0.314,0.143
8185,meantim,0.432,0.222,0.3
8186,measl,0.092,0.635,0.422
8187,measur,0.5452,0.361,0.513
8188,measuring cup,0.557,0.343,0.377
8189,measuring tap,0.337,0.28,0.327
8190,meat,0.612,0.421,0.413
8191,meatbal,0.612,0.279,0.343
8192,meathead,0.306,0.534,0.49
8193,meatloaf,0.625,0.389,0.375
8194,mechan,0.54125,0.52125,0.6387499999999999
8195,med,0.375,0.429,0.606
8196,medal,0.854,0.555,0.746
8197,medallion,0.75,0.51,0.71
8198,medallist,0.796,0.821,0.897
8199,meddl,0.27349999999999997,0.685,0.49350000000000005
8200,medial,0.458,0.34,0.429
8201,median,0.459,0.216,0.375
8202,mediat,0.6293333333333333,0.36533333333333334,0.6303333333333333
8203,medic,0.52875,0.41475,0.56175
8204,medicin,0.6875,0.3675,0.6465000000000001
8205,mediev,0.56,0.408,0.455
8206,mediocr,0.1305,0.4395,0.187
8207,medit,0.7325,0.14275,0.47375
8208,mediterranean,0.663,0.454,0.545
8209,medium,0.5295000000000001,0.34299999999999997,0.41100000000000003
8210,medley,0.487,0.352,0.4
8211,meek,0.531,0.15,0.198
8212,meet,0.755,0.5395,0.5965
8213,mega,0.724,0.538,0.723
8214,meh,0.38,0.286,0.365
8215,melanchol,0.181,0.306,0.277
8216,melancholi,0.188,0.26,0.237
8217,mele,0.541,0.704,0.611
8218,mellow,0.633,0.069,0.265
8219,melodi,0.8895,0.482,0.496
8220,melodrama,0.378,0.83,0.446
8221,melodramat,0.235,0.692,0.368
8222,melon,0.461,0.231,0.271
8223,melt,0.52,0.5425,0.42500000000000004
8224,meltdown,0.629,0.657,0.602
8225,member,0.698,0.333,0.555
8226,membership,0.698,0.411,0.778
8227,membran,0.406,0.43,0.418
8228,memento,0.708,0.36,0.536
8229,memo,0.625,0.235,0.407
8230,memoir,0.75,0.242,0.553
8231,memor,0.7295,0.48050000000000004,0.7424999999999999
8232,memorabilia,0.78,0.412,0.491
8233,memorandum,0.6,0.5,0.639
8234,memori,0.782,0.3755,0.5905
8235,memoriesiwontforget,0.635,0.542,0.455
8236,menac,0.0835,0.887,0.7010000000000001
8237,menageri,0.573,0.48,0.538
8238,mend,0.521,0.5345,0.6295
8239,menial,0.49,0.42,0.352
8240,mening,0.104,0.612,0.407
8241,meniscu,0.323,0.33,0.453
8242,menopaus,0.204,0.46,0.306
8243,mens,0.163,0.686,0.331
8244,menstrual,0.408,0.519,0.435
8245,mental,0.6005,0.4525,0.6555
8246,mentalhealth,0.562,0.541,0.67
8247,menthol,0.49,0.292,0.433
8248,mention,0.562,0.365,0.562
8249,mentor,0.719,0.455,0.777
8250,menu,0.633,0.333,0.385
8251,meow,0.51,0.51,0.412
8252,mercantil,0.48,0.49,0.713
8253,mercenari,0.245,0.837,0.673
8254,merchandis,0.594,0.46,0.621
8255,merchant,0.675,0.5,0.62
8256,merci,0.7865,0.2875,0.5
8257,merciless,0.062,0.88,0.634
8258,mercuri,0.4135,0.42900000000000005,0.4965
8259,mere,0.396,0.221,0.176
8260,merengu,0.688,0.519,0.442
8261,merg,0.76,0.48,0.733
8262,merger,0.592,0.49,0.642
8263,meridian,0.51,0.324,0.558
8264,meridion,0.365,0.29,0.6
8265,meringu,0.625,0.58,0.411
8266,merit,0.854,0.5,0.722
8267,meritori,0.781,0.618,0.855
8268,mermaid,0.765,0.623,0.452
8269,merri,0.979,0.731,0.764
8270,merriment,0.948,0.721,0.632
8271,merrychristma,0.888,0.51,0.536
8272,mesa,0.604,0.191,0.319
8273,mescalin,0.49,0.58,0.415
8274,mesh,0.4345,0.299,0.3665
8275,mesmer,0.52,0.552,0.421
8276,mess,0.143,0.843,0.273
8277,messag,0.65,0.391,0.415
8278,messedup,0.333,0.615,0.358
8279,messeng,0.694,0.434,0.5
8280,messi,0.26,0.635,0.14
8281,messiah,0.781,0.634,0.8
8282,metabol,0.5529999999999999,0.52,0.557
8283,metal,0.583,0.3795,0.577
8284,metallurgi,0.396,0.509,0.587
8285,metamorphosi,0.541,0.571,0.613
8286,metaphor,0.531,0.346,0.475
8287,metaphys,0.5955,0.4845,0.637
8288,metastasi,0.177,0.646,0.452
8289,meteor,0.494,0.758,0.7105
8290,meteorit,0.385,0.794,0.75
8291,meteorolog,0.6325000000000001,0.48750000000000004,0.6225
8292,meter,0.438,0.3,0.463
8293,meth,0.354,0.564,0.34
8294,methadon,0.24,0.54,0.453
8295,methan,0.29,0.46,0.569
8296,methanol,0.292,0.5,0.57
8297,method,0.6515,0.3175,0.7215
8298,methodolog,0.664,0.327,0.745
8299,meticul,0.555,0.48,0.555
8300,metim,0.531,0.398,0.417
8301,metric,0.52,0.3115,0.5275
8302,metrolog,0.531,0.432,0.439
8303,metropoli,0.656,0.625,0.779
8304,metropolitan,0.387,0.408,0.723
8305,mettl,0.667,0.529,0.75
8306,mew,0.418,0.481,0.38
8307,mezzanin,0.479,0.427,0.404
8308,mica,0.531,0.25,0.314
8309,mick,0.449,0.451,0.382
8310,micro,0.5,0.27,0.25
8311,microb,0.255,0.45,0.34
8312,microbiolog,0.571,0.378,0.56
8313,microchip,0.551,0.358,0.432
8314,microcosm,0.5,0.5,0.52
8315,microfilm,0.469,0.352,0.412
8316,microgram,0.448,0.286,0.355
8317,micromet,0.573,0.358,0.394
8318,micron,0.375,0.291,0.315
8319,microphon,0.551,0.431,0.462
8320,microscop,0.5046666666666667,0.3423333333333334,0.4363333333333333
8321,microscopi,0.5,0.339,0.455
8322,microwav,0.542,0.497,0.443
8323,mid,0.5,0.315,0.356
8324,midair,0.633,0.413,0.455
8325,midday,0.658,0.25,0.403
8326,middl,0.458,0.157,0.3
8327,middleman,0.5,0.404,0.452
8328,middleweight,0.51,0.302,0.428
8329,midget,0.396,0.295,0.254
8330,midland,0.521,0.402,0.456
8331,midlif,0.594,0.244,0.473
8332,midlin,0.332,0.224,0.33
8333,midnight,0.562,0.47,0.545
8334,midshipman,0.469,0.615,0.785
8335,midst,0.324,0.275,0.296
8336,midsumm,0.781,0.48,0.492
8337,midterm,0.427,0.337,0.425
8338,midtown,0.479,0.442,0.538
8339,midway,0.459,0.316,0.304
8340,midwif,0.531,0.57,0.453
8341,midwiferi,0.51,0.57,0.459
8342,mien,0.5,0.352,0.447
8343,mif,0.204,0.726,0.429
8344,mighti,0.855,0.837,0.936
8345,mignon,0.551,0.44,0.423
8346,migrain,0.135,0.783,0.318
8347,migrat,0.4535,0.6555,0.51
8348,migratori,0.448,0.521,0.491
8349,mike,0.542,0.365,0.423
8350,mil,0.534,0.388,0.347
8351,mild,0.731,0.21200000000000002,0.2635
8352,mildew,0.344,0.25,0.241
8353,mile,0.521,0.417,0.456
8354,mileag,0.51,0.458,0.562
8355,mileston,0.719,0.373,0.558
8356,milit,0.33899999999999997,0.67,0.7010000000000001
8357,militari,0.396,0.71,0.875
8358,militia,0.396,0.729,0.769
8359,milk,0.817,0.27,0.327
8360,milki,0.517,0.283,0.311
8361,milkman,0.75,0.38,0.304
8362,milkshak,0.796,0.521,0.33
8363,mill,0.531,0.382,0.347
8364,millennium,0.573,0.398,0.76
8365,milligram,0.429,0.217,0.302
8366,millimet,0.427,0.177,0.36
8367,million,0.776,0.647,0.812
8368,millionair,0.917,0.755,0.85
8369,millionth,0.635,0.528,0.611
8370,millston,0.51,0.433,0.492
8371,mime,0.455,0.235,0.302
8372,mimic,0.557,0.587,0.391
8373,mimick,0.316,0.433,0.364
8374,mimicri,0.42,0.337,0.472
8375,minc,0.417,0.529,0.378
8376,mincemeat,0.396,0.435,0.358
8377,mind,0.7,0.46675,0.681
8378,mindless,0.184,0.333,0.153
8379,mine,0.6605,0.508,0.5660000000000001
8380,minefield,0.188,0.839,0.684
8381,miner,0.4635,0.4405,0.6245
8382,mineralog,0.551,0.408,0.545
8383,mingl,0.541,0.436,0.39549999999999996
8384,mini,0.421,0.324,0.221
8385,miniatur,0.429,0.292,0.204
8386,minibu,0.439,0.39,0.428
8387,minim,0.446,0.182,0.21575
8388,minimum,0.38,0.198,0.194
8389,minion,0.49,0.43,0.167
8390,minist,0.547,0.441,0.892
8391,ministeri,0.571,0.519,0.66
8392,ministri,0.51,0.346,0.717
8393,minivan,0.592,0.356,0.452
8394,mink,0.56,0.515,0.43
8395,minnow,0.541,0.367,0.364
8396,minor,0.28,0.2835,0.193
8397,minstrel,0.458,0.541,0.397
8398,mint,0.688,0.221,0.345
8399,minti,0.635,0.292,0.361
8400,minuscul,0.396,0.286,0.214
8401,minut,0.582,0.279,0.356
8402,minutia,0.323,0.257,0.316
8403,minx,0.448,0.519,0.404
8404,mir,0.417,0.339,0.355
8405,miracl,0.9195,0.671,0.749
8406,miracul,0.875,0.706,0.812
8407,mirag,0.546,0.487,0.562
8408,mire,0.344,0.376,0.298
8409,mirror,0.677,0.31,0.438
8410,mirth,0.888,0.64,0.608
8411,misappropri,0.097,0.831,0.5
8412,misbehav,0.02,0.847,0.304
8413,misbehavior,0.031,0.704,0.269
8414,miscalcul,0.177,0.49,0.353
8415,miscarriag,0.042,0.781,0.312
8416,miscellan,0.531,0.321,0.196
8417,miscellani,0.5,0.412,0.384
8418,mischief,0.385,0.834,0.292
8419,mischiev,0.439,0.804,0.472
8420,misconcept,0.21,0.557,0.291
8421,misconduct,0.061,0.667,0.304
8422,misdemeanor,0.21,0.64,0.364
8423,misdirect,0.131,0.71,0.281
8424,miser,0.18333333333333335,0.5463333333333333,0.21633333333333335
8425,miseri,0.146,0.378,0.158
8426,misfir,0.153,0.453,0.2
8427,misfit,0.173,0.5,0.393
8428,misfortun,0.094,0.78,0.311
8429,misguid,0.28,0.531,0.259
8430,mishap,0.071,0.654,0.227
8431,misinform,0.156,0.567,0.25
8432,misinterpret,0.112,0.556,0.36
8433,misl,0.177,0.606,0.353
8434,mislead,0.11850000000000001,0.7125,0.34199999999999997
8435,mismanag,0.094,0.52,0.295
8436,mismatch,0.25,0.508,0.292
8437,misnom,0.296,0.528,0.284
8438,misplac,0.238,0.4555,0.2575
8439,misread,0.115,0.558,0.315
8440,misrepres,0.12000000000000001,0.5305,0.442
8441,misrepresent,0.323,0.618,0.518
8442,miss,0.4395,0.45399999999999996,0.315
8443,missi,0.521,0.48,0.333
8444,missil,0.155,0.876,0.7969999999999999
8445,missingy,0.26,0.471,0.377
8446,mission,0.765,0.633,0.87
8447,missionari,0.729,0.404,0.596
8448,misspel,0.292,0.423,0.281
8449,misstat,0.302,0.547,0.221
8450,mist,0.375,0.194,0.221
8451,mistak,0.208,0.585,0.102
8452,mistaken,0.131,0.63,0.212
8453,mister,0.604,0.406,0.663
8454,misti,0.427,0.451,0.278
8455,mistleto,0.542,0.47,0.324
8456,mistreat,0.01,0.792,0.2
8457,mistress,0.63,0.796,0.694
8458,mistrial,0.427,0.539,0.536
8459,mistrust,0.135,0.657,0.231
8460,misunderstand,0.1445,0.583,0.33299999999999996
8461,misunderstood,0.177,0.625,0.309
8462,misus,0.083,0.56,0.196
8463,mite,0.29,0.584,0.271
8464,miter,0.458,0.5,0.414
8465,mitig,0.5016666666666667,0.4913333333333334,0.49299999999999994
8466,mitt,0.406,0.183,0.264
8467,mitten,0.531,0.33,0.408
8468,mitzvah,0.422,0.61,0.409
8469,mix,0.526,0.418,0.45799999999999996
8470,mixedemot,0.44,0.673,0.43
8471,mixer,0.562,0.5,0.556
8472,mixtur,0.546,0.36,0.481
8473,mnemon,0.531,0.48,0.452
8474,moan,0.357,0.735,0.352
8475,moat,0.398,0.38,0.314
8476,mob,0.296,0.788,0.567
8477,mobil,0.6517499999999999,0.64225,0.66225
8478,mobster,0.188,0.87,0.638
8479,mocha,0.5,0.396,0.311
8480,mock,0.22233333333333336,0.7023333333333334,0.4053333333333333
8481,mockeri,0.094,0.806,0.181
8482,mockingbird,0.513,0.337,0.423
8483,mod,0.458,0.367,0.384
8484,modal,0.6125,0.334,0.494
8485,mode,0.531,0.185,0.367
8486,model,0.597,0.434,0.6476666666666667
8487,modem,0.573,0.355,0.5
8488,moder,0.5806,0.29,0.5982000000000001
8489,moderate anticip,0.667,0.451,0.574
8490,moderate disgust,0.229,0.558,0.381
8491,moderate neg,0.177,0.5,0.306
8492,moderate posit,0.896,0.453,0.753
8493,moderate surpris,0.776,0.663,0.637
8494,moderate trust,0.677,0.35,0.773
8495,modern,0.8075,0.488,0.697
8496,modest,0.76,0.13,0.412
8497,modesti,0.778,0.24,0.5
8498,modicum,0.234,0.417,0.327
8499,modif,0.48,0.52,0.625
8500,modifi,0.52,0.488,0.5636666666666666
8501,modul,0.5710000000000001,0.36533333333333334,0.5636666666666666
8502,modulu,0.622,0.304,0.481
8503,mogul,0.51,0.652,0.865
8504,moieti,0.378,0.343,0.454
8505,moist,0.47,0.316,0.386
8506,moistur,0.5780000000000001,0.339,0.35650000000000004
8507,molar,0.544,0.426,0.35
8508,molass,0.49,0.269,0.286
8509,mold,0.5163333333333334,0.31433333333333335,0.4403333333333334
8510,moldi,0.235,0.387,0.25
8511,mole,0.436,0.377,0.352
8512,molecul,0.531,0.259,0.375
8513,molecular,0.495,0.44,0.536
8514,molest,0.126,0.8116666666666666,0.4013333333333333
8515,molten,0.417,0.49,0.339
8516,mom,0.927,0.336,0.639
8517,moment,0.698,0.511,0.6345000000000001
8518,momentari,0.562,0.271,0.33
8519,momentum,0.663,0.75,0.688
8520,momma,0.833,0.412,0.527
8521,mommi,0.854,0.353,0.422
8522,monad,0.51,0.482,0.451
8523,monarch,0.583,0.559,0.87
8524,monarchi,0.45,0.557,0.87
8525,monast,0.438,0.314,0.676
8526,monasteri,0.694,0.183,0.726
8527,monetari,0.583,0.494,0.716
8528,money,0.844,0.608,0.827
8529,mongoloid,0.177,0.364,0.317
8530,mongoos,0.327,0.38,0.546
8531,mongrel,0.425,0.438,0.395
8532,monitor,0.49,0.298,0.538
8533,monk,0.472,0.208,0.439
8534,monkey,0.548,0.449,0.283
8535,mono,0.5,0.39,0.273
8536,monochrom,0.312,0.292,0.339
8537,monogam,0.51,0.335,0.402
8538,monogami,0.542,0.38,0.455
8539,monogram,0.4915,0.24,0.4135
8540,monograph,0.5,0.242,0.481
8541,monolay,0.427,0.294,0.433
8542,monolith,0.429,0.327,0.5
8543,monologu,0.5,0.284,0.534
8544,monopoli,0.449,0.509,0.64
8545,monopolist,0.33,0.59,0.725
8546,monoton,0.354,0.221,0.4
8547,monotoni,0.398,0.135,0.353
8548,monoxid,0.433,0.43,0.49
8549,monsieur,0.552,0.34,0.623
8550,monsoon,0.358,0.6,0.481
8551,monster,0.133,0.935,0.596
8552,monstros,0.094,0.933,0.611
8553,monstrou,0.094,0.942,0.649
8554,mont,0.589,0.33,0.391
8555,montag,0.438,0.52,0.388
8556,month,0.688,0.255,0.411
8557,monthli,0.622,0.314,0.364
8558,monument,0.7444999999999999,0.499,0.883
8559,moo,0.438,0.355,0.3
8560,mooch,0.378,0.413,0.309
8561,mood,0.649,0.5665,0.4955
8562,moodi,0.245,0.811,0.595
8563,moon,0.673,0.233,0.547
8564,moonbeam,0.7,0.29,0.491
8565,moonlight,0.865,0.264,0.409
8566,moonlit,0.873,0.269,0.508
8567,moonshin,0.633,0.389,0.491
8568,moonstruck,0.583,0.438,0.407
8569,moonwalk,0.615,0.586,0.525
8570,moor,0.346,0.4885,0.43875
8571,moorland,0.49,0.37,0.456
8572,moos,0.648,0.373,0.318
8573,moot,0.366,0.54,0.539
8574,mop,0.396,0.442,0.296
8575,mope,0.494,0.4455,0.4495
8576,moral,0.70625,0.36375,0.7395
8577,morass,0.387,0.348,0.375
8578,moratorium,0.337,0.427,0.373
8579,moray,0.51,0.402,0.463
8580,morbid,0.19333333333333333,0.719,0.39233333333333337
8581,more,0.582,0.317,0.684
8582,morgu,0.022,0.539,0.241
8583,moribund,0.083,0.488,0.167
8584,morn,0.615,0.25949999999999995,0.39449999999999996
8585,moron,0.1275,0.5435,0.20350000000000001
8586,moros,0.24,0.663,0.264
8587,morph,0.448,0.469,0.451
8588,morphin,0.229,0.49,0.496
8589,morphism,0.398,0.549,0.386
8590,morpholog,0.516,0.373,0.639
8591,morrow,0.708,0.314,0.49
8592,morsel,0.49,0.296,0.4
8593,mortal,0.21250000000000002,0.756,0.514
8594,mortar,0.333,0.627,0.562
8595,mortgag,0.255,0.408,0.537
8596,mortgage,0.418,0.633,0.723
8597,mortgagor,0.431,0.522,0.49
8598,mortician,0.104,0.429,0.275
8599,mortif,0.135,0.644,0.404
8600,mortifi,0.073,0.731,0.27
8601,mortuari,0.133,0.606,0.427
8602,mosaic,0.635,0.25,0.302
8603,mosey,0.521,0.402,0.33
8604,mosquito,0.229,0.4,0.198
8605,moss,0.235,0.27,0.245
8606,mossi,0.375,0.329,0.286
8607,mote,0.375,0.388,0.26
8608,motel,0.531,0.372,0.45
8609,moth,0.323,0.35,0.196
8610,mother,0.931,0.408,0.725
8611,motherfuck,0.0965,0.825,0.362
8612,motherhood,0.844,0.546,0.667
8613,motherland,0.677,0.375,0.731
8614,motherless,0.163,0.541,0.337
8615,motherli,0.927,0.324,0.71
8616,motif,0.688,0.481,0.527
8617,motion,0.667,0.538,0.657
8618,motionless,0.323,0.21,0.246
8619,motiv,0.8394,0.7228,0.7966
8620,motley,0.48,0.398,0.412
8621,motor,0.531,0.551,0.648
8622,motorbik,0.552,0.608,0.616
8623,motorboat,0.677,0.5,0.39
8624,motorcad,0.708,0.73,0.593
8625,motorcar,0.694,0.565,0.682
8626,motorcycl,0.677,0.764,0.713
8627,motorist,0.562,0.663,0.578
8628,mott,0.481,0.389,0.37
8629,mottl,0.38,0.336,0.295
8630,motto,0.688,0.317,0.439
8631,mould,0.357,0.176,0.246
8632,mound,0.52,0.481,0.509
8633,mount,0.5,0.292,0.348
8634,mountain,0.6835,0.5335,0.59125
8635,mountaintop,0.653,0.541,0.713
8636,mourn,0.13766666666666666,0.5046666666666667,0.20133333333333334
8637,mous,0.427,0.441,0.206
8638,mousetrap,0.18,0.643,0.33
8639,mousi,0.48,0.413,0.339
8640,mouss,0.604,0.336,0.368
8641,moustach,0.47,0.236,0.409
8642,mouth,0.6715,0.4295,0.36250000000000004
8643,mouthpiec,0.573,0.346,0.393
8644,mouthwash,0.438,0.385,0.352
8645,movabl,0.469,0.509,0.5
8646,move,0.5675,0.66,0.514
8647,movement,0.656,0.654,0.658
8648,mover,0.615,0.539,0.466
8649,movi,0.758,0.493,0.4715
8650,movingforward,0.857,0.518,0.848
8651,movingon,0.49,0.529,0.435
8652,mow,0.42,0.559,0.393
8653,mower,0.458,0.51,0.368
8654,moxi,0.531,0.49,0.366
8655,mozzarella,0.653,0.265,0.34
8656,mri,0.365,0.431,0.349
8657,mu,0.566,0.436,0.4365
8658,muchneed,0.438,0.602,0.455
8659,muci,0.398,0.418,0.42
8660,muck,0.26549999999999996,0.4615,0.3225
8661,mucou,0.33,0.296,0.293
8662,mucu,0.143,0.309,0.228
8663,mud,0.333,0.26,0.185
8664,muddi,0.292,0.4,0.283
8665,muddl,0.217,0.6625,0.2995
8666,muff,0.542,0.335,0.314
8667,muffin,0.684,0.43,0.306
8668,muffl,0.479,0.33,0.421
8669,muffler,0.357,0.407,0.454
8670,mug,0.542,0.214,0.382
8671,mugger,0.125,0.85,0.5
8672,mulberri,0.469,0.315,0.361
8673,mulch,0.349,0.361,0.383
8674,mule,0.32,0.337,0.254
8675,mull,0.663,0.34,0.594
8676,mullet,0.521,0.356,0.377
8677,multilater,0.5,0.469,0.705
8678,multimedia,0.611,0.39,0.607
8679,multin,0.656,0.51,0.842
8680,multipl,0.661,0.5216666666666666,0.7056666666666667
8681,multiple sclerosi,0.188,0.587,0.483
8682,multiplex,0.61,0.59,0.667
